freq_hz,target_mvrms,measured_mvrms,error_mvrms,amp_code,atten_db,iterations,pass_fail,reason
111700000,50.0,50.675900000000006,0.6759000000000057,1001,16.5,1,PASS,within tolerance
111700000,60.0,60.716699999999996,0.7166999999999959,937,14.0,1,PASS,within tolerance
111700000,70.0,70.6097,0.6097000000000037,920,12.5,1,PASS,within tolerance
111700000,80.0,79.2345,-0.765500000000003,914,11.5,2,PASS,within tolerance
111700000,90.0,90.15610000000001,0.15610000000000923,929,10.5,1,PASS,within tolerance
111700000,100.0,100.22680000000001,0.22680000000001144,904,9.5,2,PASS,within tolerance
111800000,10.0,10.5097,0.5097000000000005,1023,29.5,1,PASS,within tolerance
111800000,20.0,20.748099999999997,0.7480999999999973,1023,24.5,1,PASS,within tolerance
111800000,30.0,29.2039,-0.7960999999999991,1023,21.0,1,PASS,within tolerance
111800000,40.0,40.4392,0.4391999999999996,1023,18.5,1,PASS,within tolerance
111800000,50.0,50.5458,0.5457999999999998,1001,16.5,1,PASS,within tolerance
111800000,60.0,60.7232,0.7231999999999985,937,14.0,1,PASS,within tolerance
111800000,70.0,70.98169999999999,0.9816999999999894,920,12.5,1,PASS,within tolerance
111800000,80.0,80.5853,0.5853000000000037,930,11.5,2,PASS,within tolerance
111800000,90.0,89.6424,-0.357600000000005,929,10.5,1,PASS,within tolerance
111800000,100.0,99.3835,-0.616500000000002,904,9.5,1,PASS,within tolerance
111900000,10.0,10.091299999999999,0.0912999999999986,1023,29.5,1,PASS,within tolerance
111900000,20.0,20.441000000000003,0.4410000000000025,1023,24.5,1,PASS,within tolerance
111900000,30.0,30.2674,0.2673999999999985,1023,21.0,1,PASS,within tolerance
111900000,40.0,40.3678,0.36780000000000257,1023,18.5,1,PASS,within tolerance
111900000,50.0,50.9741,0.9741,1001,16.5,1,PASS,within tolerance
111900000,60.0,60.9981,0.9981000000000009,937,14.0,1,PASS,within tolerance
111900000,70.0,69.632,-0.367999999999995,899,12.5,4,PASS,within tolerance
111900000,80.0,80.7813,0.7813000000000017,924,11.5,3,PASS,within tolerance
111900000,90.0,90.5527,0.5527000000000015,913,10.5,4,PASS,within tolerance
111900000,100.0,100.23010000000001,0.2301000000000073,904,9.5,1,PASS,within tolerance
112000000,10.0,10.5591,0.5591000000000008,1023,29.5,1,PASS,within tolerance
112000000,20.0,20.372899999999998,0.3728999999999978,1023,24.5,1,PASS,within tolerance
112000000,30.0,29.047900000000002,-0.952099999999998,1023,21.0,1,PASS,within tolerance
112000000,40.0,40.3778,0.3778000000000006,1023,18.5,1,PASS,within tolerance
112000000,50.0,50.1605,0.16049999999999898,979,16.5,2,PASS,within tolerance
112000000,60.0,59.094500000000004,-0.9054999999999964,917,14.0,2,PASS,within tolerance
112000000,70.0,70.2738,0.27379999999999427,899,12.5,1,PASS,within tolerance
112000000,80.0,80.79310000000001,0.7931000000000097,924,11.5,1,PASS,within tolerance
112000000,90.0,90.1178,0.11780000000000257,913,10.5,1,PASS,within tolerance
112000000,100.0,99.208,-0.7920000000000016,890,9.5,2,PASS,within tolerance
112100000,10.0,10.5434,0.5434000000000001,1023,29.5,1,PASS,within tolerance
112100000,20.0,20.0614,0.06139999999999901,1023,24.5,1,PASS,within tolerance
112100000,30.0,29.4541,-0.5458999999999996,1023,21.0,1,PASS,within tolerance
112100000,40.0,40.1984,0.19839999999999947,1023,18.5,3,PASS,within tolerance
112100000,50.0,50.7698,0.7697999999999965,979,16.5,1,PASS,within tolerance
112100000,60.0,60.3186,0.31860000000000355,917,14.0,1,PASS,within tolerance
112100000,70.0,70.679,0.679000000000002,903,12.5,3,PASS,within tolerance
112100000,80.0,80.24770000000001,0.2477000000000089,907,11.5,2,PASS,within tolerance
112100000,90.0,90.0762,0.07620000000000005,913,10.5,1,PASS,within tolerance
112100000,100.0,99.92370000000001,-0.07629999999998915,890,9.5,1,PASS,within tolerance
112200000,10.0,10.6485,0.6485000000000003,1023,29.5,1,PASS,within tolerance
112200000,20.0,20.0027,0.002700000000000813,1023,24.5,1,PASS,within tolerance
112200000,30.0,30.5537,0.5536999999999992,1023,21.0,1,PASS,within tolerance
112200000,40.0,40.8578,0.8577999999999975,1023,18.5,1,PASS,within tolerance
112200000,50.0,50.3636,0.36359999999999815,979,16.5,1,PASS,within tolerance
112200000,60.0,60.538799999999995,0.5387999999999948,917,14.0,1,PASS,within tolerance
112200000,70.0,69.28819999999999,-0.7118000000000109,888,12.5,2,PASS,within tolerance
112200000,80.0,80.82849999999999,0.8284999999999911,906,11.5,3,PASS,within tolerance
112200000,90.0,89.281,-0.7189999999999941,900,10.5,2,PASS,within tolerance
112200000,100.0,100.3587,0.3586999999999989,890,9.5,1,PASS,within tolerance
112300000,10.0,10.6374,0.6373999999999995,1023,29.5,1,PASS,within tolerance
112300000,20.0,19.9361,-0.06390000000000029,1023,24.5,1,PASS,within tolerance
112300000,30.0,30.546799999999998,0.5467999999999975,1023,21.0,1,PASS,within tolerance
112300000,40.0,40.682900000000004,0.6829000000000036,1023,18.5,1,PASS,within tolerance
112300000,50.0,50.2626,0.26259999999999906,979,16.5,1,PASS,within tolerance
112300000,60.0,59.9787,-0.021299999999996544,917,14.0,1,PASS,within tolerance
112300000,70.0,70.06020000000001,0.06020000000000891,888,12.5,1,PASS,within tolerance
112300000,80.0,79.9797,-0.02030000000000598,906,11.5,1,PASS,within tolerance
112300000,90.0,89.8243,-0.17570000000000618,900,10.5,1,PASS,within tolerance
112300000,100.0,100.1019,0.10190000000000055,890,9.5,1,PASS,within tolerance
112400000,10.0,10.610100000000001,0.610100000000001,1023,29.5,1,PASS,within tolerance
112400000,20.0,19.8174,-0.18260000000000076,1023,25.0,2,PASS,within tolerance
112400000,30.0,29.4276,-0.5723999999999982,1023,21.0,1,PASS,within tolerance
112400000,40.0,38.8906,-1.1094000000000008,1023,19.0,2,FAIL,under target at max amp and min attenuation
112400000,50.0,50.5303,0.5302999999999969,979,16.5,1,PASS,within tolerance
112400000,60.0,60.3598,0.3597999999999999,917,14.0,1,PASS,within tolerance
112400000,70.0,69.7825,-0.21750000000000114,888,12.5,1,PASS,within tolerance
112400000,80.0,80.2572,0.25719999999999743,906,11.5,1,PASS,within tolerance
112400000,90.0,90.3674,0.3674000000000035,900,10.5,1,PASS,within tolerance
112400000,100.0,100.0966,0.09659999999999513,878,9.5,2,PASS,within tolerance
112500000,10.0,10.5851,0.5851000000000006,1023,29.5,1,PASS,within tolerance
112500000,20.0,19.460600000000003,-0.539399999999997,1023,25.0,1,PASS,within tolerance
112500000,30.0,30.4729,0.4728999999999992,1023,21.0,3,PASS,within tolerance
112500000,40.0,39.4553,-0.5446999999999989,1023,19.0,2,PASS,within tolerance
112500000,50.0,50.338300000000004,0.3383000000000038,959,16.5,2,PASS,within tolerance
112500000,60.0,59.72,-0.28000000000000114,896,14.0,4,PASS,within tolerance
112500000,70.0,69.7468,-0.25320000000000675,874,12.5,2,PASS,within tolerance
112500000,80.0,80.7629,0.7629000000000019,906,11.5,1,PASS,within tolerance
112500000,90.0,89.2202,-0.7797999999999945,900,10.5,1,PASS,within tolerance
112500000,100.0,100.1189,0.11889999999999645,878,9.5,1,PASS,within tolerance
112600000,10.0,9.035400000000001,-0.964599999999999,1023,30.5,2,PASS,within tolerance
112600000,20.0,19.4253,-0.5747,1023,25.0,1,PASS,within tolerance
112600000,30.0,30.756999999999998,0.7569999999999979,1023,21.0,1,PASS,within tolerance
112600000,40.0,39.7766,-0.22339999999999804,1023,19.0,1,PASS,within tolerance
112600000,50.0,50.5023,0.5022999999999982,959,16.5,1,PASS,within tolerance
112600000,60.0,59.5813,-0.4187000000000012,896,14.0,1,PASS,within tolerance
112600000,70.0,69.4384,-0.5615999999999985,861,12.5,2,PASS,within tolerance
112600000,80.0,80.4965,0.4964999999999975,887,11.5,2,PASS,within tolerance
112600000,90.0,90.8403,0.8402999999999992,900,10.5,1,PASS,within tolerance
112600000,100.0,100.091,0.09099999999999397,878,9.5,1,PASS,within tolerance
112700000,10.0,10.4794,0.47940000000000005,1023,30.5,1,PASS,within tolerance
112700000,20.0,19.0775,-0.9224999999999994,1023,25.0,3,PASS,within tolerance
112700000,30.0,29.6158,-0.3841999999999999,1023,21.5,2,PASS,within tolerance
