t_s,ch3_v
-3.854968000000e-04,2.000000000e-02
-3.854944000000e-04,0.000000000e+00
-3.854920000000e-04,0.000000000e+00
-3.854896000000e-04,0.000000000e+00
-3.854872000000e-04,2.000000000e-02
-3.854848000000e-04,2.000000000e-02
-3.854824000000e-04,-2.000000000e-02
-3.854800000000e-04,0.000000000e+00
-3.854776000000e-04,0.000000000e+00
-3.854752000000e-04,0.000000000e+00
-3.854728000000e-04,2.000000000e-02
-3.854704000000e-04,0.000000000e+00
-3.854680000000e-04,2.000000000e-02
-3.854656000000e-04,2.000000000e-02
-3.854632000000e-04,0.000000000e+00
-3.854608000000e-04,2.000000000e-02
-3.854584000000e-04,0.000000000e+00
-3.854560000000e-04,2.000000000e-02
-3.854536000000e-04,0.000000000e+00
-3.854512000000e-04,0.000000000e+00
-3.854488000000e-04,4.000000000e-02
-3.854464000000e-04,2.000000000e-02
-3.854440000000e-04,2.000000000e-02
-3.854416000000e-04,2.000000000e-02
-3.854392000000e-04,0.000000000e+00
-3.854368000000e-04,2.000000000e-02
-3.854344000000e-04,0.000000000e+00
-3.854320000000e-04,2.000000000e-02
-3.854296000000e-04,2.000000000e-02
-3.854272000000e-04,2.000000000e-02
-3.854248000000e-04,4.000000000e-02
-3.854224000000e-04,2.000000000e-02
-3.854200000000e-04,0.000000000e+00
-3.854176000000e-04,0.000000000e+00
-3.854152000000e-04,2.000000000e-02
-3.854128000000e-04,2.000000000e-02
-3.854104000000e-04,0.000000000e+00
-3.854080000000e-04,2.000000000e-02
-3.854056000000e-04,4.000000000e-02
-3.854032000000e-04,2.000000000e-02
-3.854008000000e-04,2.000000000e-02
-3.853984000000e-04,0.000000000e+00
-3.853960000000e-04,0.000000000e+00
-3.853936000000e-04,0.000000000e+00
-3.853912000000e-04,0.000000000e+00
-3.853888000000e-04,2.000000000e-02
-3.853864000000e-04,4.000000000e-02
-3.853840000000e-04,4.000000000e-02
-3.853816000000e-04,0.000000000e+00
-3.853792000000e-04,2.000000000e-02
-3.853768000000e-04,0.000000000e+00
-3.853744000000e-04,4.000000000e-02
-3.853720000000e-04,0.000000000e+00
-3.853696000000e-04,0.000000000e+00
-3.853672000000e-04,2.000000000e-02
-3.853648000000e-04,0.000000000e+00
-3.853624000000e-04,0.000000000e+00
-3.853600000000e-04,2.000000000e-02
-3.853576000000e-04,2.000000000e-02
-3.853552000000e-04,0.000000000e+00
-3.853528000000e-04,0.000000000e+00
-3.853504000000e-04,0.000000000e+00
-3.853480000000e-04,2.000000000e-02
-3.853456000000e-04,0.000000000e+00
-3.853432000000e-04,2.000000000e-02
-3.853408000000e-04,0.000000000e+00
-3.853384000000e-04,2.000000000e-02
-3.853360000000e-04,2.000000000e-02
-3.853336000000e-04,4.000000000e-02
-3.853312000000e-04,0.000000000e+00
-3.853288000000e-04,2.000000000e-02
-3.853264000000e-04,0.000000000e+00
-3.853240000000e-04,0.000000000e+00
-3.853216000000e-04,0.000000000e+00
-3.853192000000e-04,0.000000000e+00
-3.853168000000e-04,2.000000000e-02
-3.853144000000e-04,2.000000000e-02
-3.853120000000e-04,0.000000000e+00
-3.853096000000e-04,0.000000000e+00
-3.853072000000e-04,2.000000000e-02
-3.853048000000e-04,4.000000000e-02
-3.853024000000e-04,0.000000000e+00
-3.853000000000e-04,2.000000000e-02
-3.852976000000e-04,2.000000000e-02
-3.852952000000e-04,4.000000000e-02
-3.852928000000e-04,4.000000000e-02
-3.852904000000e-04,4.000000000e-02
-3.852880000000e-04,2.000000000e-02
-3.852856000000e-04,0.000000000e+00
-3.852832000000e-04,0.000000000e+00
-3.852808000000e-04,2.000000000e-02
-3.852784000000e-04,0.000000000e+00
-3.852760000000e-04,0.000000000e+00
-3.852736000000e-04,0.000000000e+00
-3.852712000000e-04,0.000000000e+00
-3.852688000000e-04,0.000000000e+00
-3.852664000000e-04,0.000000000e+00
-3.852640000000e-04,0.000000000e+00
-3.852616000000e-04,0.000000000e+00
-3.852592000000e-04,0.000000000e+00
-3.852568000000e-04,0.000000000e+00
-3.852544000000e-04,0.000000000e+00
-3.852520000000e-04,0.000000000e+00
-3.852496000000e-04,0.000000000e+00
-3.852472000000e-04,2.000000000e-02
-3.852448000000e-04,2.000000000e-02
-3.852424000000e-04,2.000000000e-02
-3.852400000000e-04,2.000000000e-02
-3.852376000000e-04,2.000000000e-02
-3.852352000000e-04,2.000000000e-02
-3.852328000000e-04,0.000000000e+00
-3.852304000000e-04,0.000000000e+00
-3.852280000000e-04,4.000000000e-02
-3.852256000000e-04,0.000000000e+00
-3.852232000000e-04,0.000000000e+00
-3.852208000000e-04,4.000000000e-02
-3.852184000000e-04,2.000000000e-02
-3.852160000000e-04,0.000000000e+00
-3.852136000000e-04,2.000000000e-02
-3.852112000000e-04,0.000000000e+00
-3.852088000000e-04,2.000000000e-02
-3.852064000000e-04,0.000000000e+00
-3.852040000000e-04,0.000000000e+00
-3.852016000000e-04,0.000000000e+00
-3.851992000000e-04,-2.000000000e-02
-3.851968000000e-04,8.000000000e-02
-3.851944000000e-04,4.000000000e-02
-3.851920000000e-04,2.000000000e-02
-3.851896000000e-04,0.000000000e+00
-3.851872000000e-04,4.000000000e-02
-3.851848000000e-04,0.000000000e+00
-3.851824000000e-04,0.000000000e+00
-3.851800000000e-04,4.000000000e-02
-3.851776000000e-04,2.000000000e-02
-3.851752000000e-04,0.000000000e+00
-3.851728000000e-04,0.000000000e+00
-3.851704000000e-04,0.000000000e+00
-3.851680000000e-04,2.000000000e-02
-3.851656000000e-04,0.000000000e+00
-3.851632000000e-04,0.000000000e+00
-3.851608000000e-04,0.000000000e+00
-3.851584000000e-04,0.000000000e+00
-3.851560000000e-04,4.000000000e-02
-3.851536000000e-04,0.000000000e+00
-3.851512000000e-04,0.000000000e+00
-3.851488000000e-04,0.000000000e+00
-3.851464000000e-04,2.000000000e-02
-3.851440000000e-04,0.000000000e+00
-3.851416000000e-04,2.000000000e-02
-3.851392000000e-04,0.000000000e+00
-3.851368000000e-04,4.000000000e-02
-3.851344000000e-04,0.000000000e+00
-3.851320000000e-04,0.000000000e+00
-3.851296000000e-04,2.000000000e-02
-3.851272000000e-04,2.000000000e-02
-3.851248000000e-04,2.000000000e-02
-3.851224000000e-04,2.000000000e-02
-3.851200000000e-04,0.000000000e+00
-3.851176000000e-04,2.000000000e-02
-3.851152000000e-04,0.000000000e+00
-3.851128000000e-04,0.000000000e+00
-3.851104000000e-04,0.000000000e+00
-3.851080000000e-04,0.000000000e+00
-3.851056000000e-04,0.000000000e+00
-3.851032000000e-04,0.000000000e+00
-3.851008000000e-04,0.000000000e+00
-3.850984000000e-04,0.000000000e+00
-3.850960000000e-04,0.000000000e+00
-3.850936000000e-04,0.000000000e+00
-3.850912000000e-04,2.000000000e-02
-3.850888000000e-04,0.000000000e+00
-3.850864000000e-04,0.000000000e+00
-3.850840000000e-04,0.000000000e+00
-3.850816000000e-04,2.000000000e-02
-3.850792000000e-04,0.000000000e+00
-3.850768000000e-04,2.000000000e-02
-3.850744000000e-04,0.000000000e+00
-3.850720000000e-04,2.000000000e-02
-3.850696000000e-04,0.000000000e+00
-3.850672000000e-04,-2.000000000e-02
-3.850648000000e-04,0.000000000e+00
-3.850624000000e-04,0.000000000e+00
-3.850600000000e-04,0.000000000e+00
-3.850576000000e-04,0.000000000e+00
-3.850552000000e-04,0.000000000e+00
-3.850528000000e-04,2.000000000e-02
-3.850504000000e-04,2.000000000e-02
-3.850480000000e-04,4.000000000e-02
-3.850456000000e-04,0.000000000e+00
-3.850432000000e-04,0.000000000e+00
-3.850408000000e-04,0.000000000e+00
-3.850384000000e-04,2.000000000e-02
-3.850360000000e-04,0.000000000e+00
-3.850336000000e-04,0.000000000e+00
-3.850312000000e-04,2.000000000e-02
-3.850288000000e-04,0.000000000e+00
-3.850264000000e-04,0.000000000e+00
-3.850240000000e-04,2.000000000e-02
-3.850216000000e-04,0.000000000e+00
-3.850192000000e-04,2.000000000e-02
-3.850168000000e-04,0.000000000e+00
-3.850144000000e-04,0.000000000e+00
-3.850120000000e-04,2.000000000e-02
-3.850096000000e-04,2.000000000e-02
-3.850072000000e-04,0.000000000e+00
-3.850048000000e-04,2.000000000e-02
-3.850024000000e-04,4.000000000e-02
-3.850000000000e-04,0.000000000e+00
-3.849976000000e-04,-2.000000000e-02
-3.849952000000e-04,0.000000000e+00
-3.849928000000e-04,2.000000000e-02
-3.849904000000e-04,2.000000000e-02
-3.849880000000e-04,2.000000000e-02
-3.849856000000e-04,0.000000000e+00
-3.849832000000e-04,0.000000000e+00
-3.849808000000e-04,0.000000000e+00
-3.849784000000e-04,0.000000000e+00
-3.849760000000e-04,2.000000000e-02
-3.849736000000e-04,0.000000000e+00
-3.849712000000e-04,0.000000000e+00
-3.849688000000e-04,2.000000000e-02
-3.849664000000e-04,0.000000000e+00
-3.849640000000e-04,0.000000000e+00
-3.849616000000e-04,2.000000000e-02
-3.849592000000e-04,2.000000000e-02
-3.849568000000e-04,2.000000000e-02
-3.849544000000e-04,2.000000000e-02
-3.849520000000e-04,0.000000000e+00
-3.849496000000e-04,0.000000000e+00
-3.849472000000e-04,0.000000000e+00
-3.849448000000e-04,2.000000000e-02
-3.849424000000e-04,0.000000000e+00
-3.849400000000e-04,0.000000000e+00
-3.849376000000e-04,0.000000000e+00
-3.849352000000e-04,2.000000000e-02
-3.849328000000e-04,2.000000000e-02
-3.849304000000e-04,4.000000000e-02
-3.849280000000e-04,0.000000000e+00
-3.849256000000e-04,2.000000000e-02
-3.849232000000e-04,0.000000000e+00
-3.849208000000e-04,2.000000000e-02
-3.849184000000e-04,0.000000000e+00
-3.849160000000e-04,0.000000000e+00
-3.849136000000e-04,2.000000000e-02
-3.849112000000e-04,0.000000000e+00
-3.849088000000e-04,4.000000000e-02
-3.849064000000e-04,0.000000000e+00
-3.849040000000e-04,2.000000000e-02
-3.849016000000e-04,-2.000000000e-02
-3.848992000000e-04,2.000000000e-02
-3.848968000000e-04,2.000000000e-02
-3.848944000000e-04,2.000000000e-02
-3.848920000000e-04,0.000000000e+00
-3.848896000000e-04,0.000000000e+00
-3.848872000000e-04,0.000000000e+00
-3.848848000000e-04,0.000000000e+00
-3.848824000000e-04,2.000000000e-02
-3.848800000000e-04,4.000000000e-02
-3.848776000000e-04,0.000000000e+00
-3.848752000000e-04,2.000000000e-02
-3.848728000000e-04,0.000000000e+00
-3.848704000000e-04,2.000000000e-02
-3.848680000000e-04,0.000000000e+00
-3.848656000000e-04,4.000000000e-02
-3.848632000000e-04,2.000000000e-02
-3.848608000000e-04,0.000000000e+00
-3.848584000000e-04,0.000000000e+00
-3.848560000000e-04,2.000000000e-02
-3.848536000000e-04,0.000000000e+00
-3.848512000000e-04,0.000000000e+00
-3.848488000000e-04,0.000000000e+00
-3.848464000000e-04,4.000000000e-02
-3.848440000000e-04,0.000000000e+00
-3.848416000000e-04,0.000000000e+00
-3.848392000000e-04,0.000000000e+00
-3.848368000000e-04,0.000000000e+00
-3.848344000000e-04,2.000000000e-02
-3.848320000000e-04,2.000000000e-02
-3.848296000000e-04,4.000000000e-02
-3.848272000000e-04,2.000000000e-02
-3.848248000000e-04,2.000000000e-02
-3.848224000000e-04,0.000000000e+00
-3.848200000000e-04,2.000000000e-02
-3.848176000000e-04,2.000000000e-02
-3.848152000000e-04,4.000000000e-02
-3.848128000000e-04,2.000000000e-02
